target,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked__C,Embarked__Q,Embarked__S
0.0,1.0,0.0,0.2711736618441457,0.125,0.0,0.10295621191817259,0.014151056909445578,0.0,0.0,1.0
1.0,0.0,1.0,0.4722292034043814,0.125,0.0,0.036471269316794626,0.13913573346777855,1.0,0.0,0.0
1.0,1.0,1.0,0.32143754723420465,0.0,0.0,0.09728598685294872,0.015468569476752568,0.0,0.0,1.0
1.0,0.0,1.0,0.4345312893618372,0.125,0.0,0.03647997729475377,0.10364428969638081,0.0,0.0,1.0
0.0,1.0,0.0,0.4345312893618372,0.0,0.0,0.1202207311153791,0.015712553216570595,0.0,0.0,1.0
0.0,1.0,0.0,0.31888508430424073,0.0,0.0,0.1064901849800281,0.016509500623183078,0.0,1.0,0.0
0.0,0.0,0.0,0.6732847449646171,0.0,0.0,0.0054086218657326554,0.10122885216134092,0.0,0.0,1.0
0.0,1.0,0.0,0.01985423489385113,0.375,0.16666666666666666,0.1126283418881154,0.041135660022477955,0.0,0.0,1.0
1.0,1.0,1.0,0.3340035185817194,0.0,0.3333333333333333,0.11192944602746885,0.0217307530275785,0.0,0.0,1.0
1.0,0.5,1.0,0.17064589106402786,0.125,0.0,0.07645056368031401,0.058694291471457834,1.0,0.0,0.0
1.0,1.0,1.0,0.044986177588880585,0.125,0.16666666666666666,0.09728598685294872,0.032596229128847,0.0,0.0,1.0
1.0,0.0,1.0,0.723548630354676,0.0,0.0,0.03647352694070996,0.05182214484819041,0.0,0.0,1.0
0.0,1.0,0.0,0.24604171914911624,0.0,0.0,0.09728598685294872,0.015712553216570595,0.0,0.0,1.0
0.0,1.0,0.0,0.48479517475189615,0.125,0.8333333333333333,0.11171658434402319,0.061044730957891126,0.0,0.0,1.0
0.0,1.0,1.0,0.17064589106402786,0.0,0.0,0.11278863318610402,0.015330376492345367,0.0,0.0,1.0
1.0,0.5,1.0,0.6858507163121318,0.0,0.0,0.07998858287334247,0.031229918696707482,0.0,0.0,1.0
0.0,1.0,0.0,0.01985423489385113,0.5,0.16666666666666666,0.12318853901093497,0.056848211377600336,0.0,1.0,0.0
1.0,0.5,0.0,0.3739861525085673,0.0,0.0,0.07859111366975156,0.02537430894107483,0.0,0.0,1.0
0.0,1.0,1.0,0.3842674039717783,0.125,0.0,0.11129118349483409,0.035133658533795915,0.0,0.0,1.0
1.0,1.0,1.0,0.17064589106402786,0.0,0.0,0.0006308446254843813,0.014102259975337152,1.0,0.0,0.0
0.0,0.5,0.0,0.4345312893618372,0.0,0.0,0.07713720386827733,0.05074861788214966,0.0,0.0,1.0
1.0,0.5,0.0,0.42196531801432247,0.0,0.0,0.07998600273172495,0.02537430894107483,0.0,0.0,1.0
1.0,1.0,1.0,0.1832118624115426,0.0,0.0,0.10650502079432886,0.015671953169656142,0.0,1.0,0.0
1.0,0.0,0.0,0.3465694899292341,0.0,0.0,0.036475139529220914,0.06929138210831973,0.0,0.0,1.0
0.0,1.0,1.0,0.09525006297893951,0.375,0.16666666666666666,0.1126283418881154,0.041135660022477955,0.0,0.0,1.0
1.0,1.0,1.0,0.4722292034043814,0.125,0.8333333333333333,0.11171497175551225,0.0612643185574652,0.0,0.0,1.0
0.0,1.0,0.0,0.35094853038222756,0.0,0.0,0.0006250393068449545,0.014102259975337152,1.0,0.0,0.0
0.0,0.0,0.0,0.23347574780160152,0.375,0.3333333333333333,0.006210723391080128,0.5133417885771292,0.0,0.0,1.0
1.0,1.0,1.0,0.23347574780160152,0.0,0.0,0.10651663143160772,0.015379173426453794,0.0,1.0,0.0
0.0,1.0,0.0,0.3283488218882624,0.0,0.0,0.11240483712049747,0.01541157472472606,0.0,0.0,1.0
0.0,0.0,0.0,0.49736114609941084,0.0,0.0,0.03589079120580231,0.05410739641829964,1.0,0.0,0.0
1.0,0.0,1.0,0.21462679078032942,0.125,0.0,0.005248330567744037,0.28598953752929773,1.0,0.0,0.0
1.0,1.0,1.0,0.23347574780160152,0.0,0.0,0.10803826995054193,0.015126991868717687,0.0,1.0,0.0
0.0,0.5,0.0,0.8240764011347939,0.0,0.0,0.008873429540363898,0.020494634144714287,0.0,0.0,1.0
0.0,0.0,0.0,0.3465694899292341,0.125,0.0,0.004152092897998939,0.16038671124929443,1.0,0.0,0.0
